10.125	76.375
10.125	76.625
10.125	76.875
10.125	77.125
10.125	77.375
10.125	77.625
10.125	77.875
10.125	78.125
10.125	78.375
10.125	78.625
10.125	78.875
10.375	76.375
10.375	76.625
10.375	76.875
10.375	77.125
10.375	77.375
10.375	77.625
10.375	77.875
10.375	78.125
10.375	78.375
10.375	78.625
10.375	78.875
10.375	79.125
10.625	76.125
10.625	76.375
10.625	76.625
10.625	76.875
10.625	77.125
10.625	77.375
10.625	77.625
10.625	77.875
10.625	78.125
10.625	78.375
10.625	78.625
10.625	78.875
10.625	79.125
10.625	79.375
10.625	79.625
10.875	76.125
10.875	76.375
10.875	76.625
10.875	76.875
10.875	77.125
10.875	77.375
10.875	77.625
10.875	77.875
10.875	78.125
10.875	78.375
10.875	78.625
10.875	78.875
10.875	79.125
10.875	79.375
10.875	79.625
11.125	76.125
11.125	76.375
11.125	76.625
11.125	76.875
11.125	77.125
11.125	77.375
11.125	77.625
11.125	77.875
11.125	78.125
11.125	78.375
11.125	78.625
11.125	78.875
11.125	79.125
11.125	79.375
11.125	79.625
11.375	75.875
11.375	76.125
11.375	76.375
11.375	76.625
11.375	76.875
11.375	77.125
11.375	77.375
11.375	77.625
11.375	77.875
11.375	78.125
11.375	78.375
11.375	78.625
11.375	78.875
11.375	79.125
11.375	79.375
11.375	79.625
11.625	75.875
11.625	76.125
11.625	76.375
11.625	76.625
11.625	76.875
11.625	77.125
11.625	77.375
11.625	77.625
11.625	77.875
11.625	78.125
11.625	78.375
11.625	78.625
11.625	78.875
11.625	79.125
11.625	79.375
11.875	75.875
11.875	76.125
11.875	76.375
11.875	76.625
11.875	76.875
11.875	77.125
11.875	77.375
11.875	77.625
11.875	77.875
11.875	78.125
11.875	78.375
11.875	78.625
11.875	78.875
11.875	79.125
11.875	79.375
11.875	79.625
12.125	75.375
12.125	75.625
12.125	75.875
12.125	76.125
12.125	76.375
12.125	76.625
12.125	76.875
12.125	77.125
12.125	77.375
12.125	77.625
12.125	77.875
12.125	78.125
12.125	78.375
12.125	78.625
12.125	78.875
12.125	79.125
12.125	79.375
12.125	79.625
12.375	75.125
12.375	75.375
12.375	75.625
12.375	75.875
12.375	76.125
12.375	76.375
12.375	76.625
12.375	76.875
12.375	77.125
12.375	77.375
12.375	77.625
12.375	77.875
12.375	78.125
12.375	78.375
12.375	78.625
12.375	78.875
12.375	79.125
12.375	79.375
12.375	79.625
12.625	75.125
12.625	75.375
12.625	75.625
12.625	75.875
12.625	76.125
